,lung cancer,active pulmonary tuberculosis,acute myocardial infarction,alzheimer's disease,basal cell cancer,bladder cancer,breast cancer,cervical cancer,cholangiocancer,chronic lymphocytic leukemia,chronic thromboembolic pulmonary hypertension,clear cell renal cell cancer,colorectal cancer,coronary artery disease,cutaneous squamous cell cancer,depatocellular cancer,diabetic retinopathy,esophageal squamous cancer,facet joint osteoarthritis,gastric cancer,glioblastoma,glioma,head and neck squamous cell cancer,heart failure,hepatic steatosis,hepatocellular cancer,human thoracic aortic dissection,hypertension,hypertrophic cardiomyopathy,hypopharyngeal squamous cell cancer,leukoaraiosis,liver cancer,lung adenocarcinoma,major depressive disorder,multiple sclerosis,multiple system atrophy,myocardial infarction,non-small cell lung cancer,oral cancer,oral squamous cell cancer,osteoarthritis,osteosarcoma,ovarian aging,ovarian endometriosis,pancreatic ductal adenocarcinoma,papillary thyroid cancer,pre-eclampsia,prostate cancer,radiation-induced liver fibrosis,retinoblastoma,rheumatoid arthritis,severe acne,glioblastoma multiforme,laryngeal squamous cell cancer,acute kidney injury,hypertensive,pancreatic cancer,colon cancer,tuberculosis,intracranial aneurysms,hepatoblastoma,malignant melanoma,lupus erythematosus,chronic myeloid leukemia,melanoma,pterygium,hirschsprung disease
lung cancer,1.0,1.3170990702355053e-06,6.94932023708209e-05,6.94932023708209e-05,7.86886098543761e-17,2.899646240176118e-14,1.1674718187705534e-18,3.945169735852266e-15,2.786608979360364e-05,6.94932023708209e-05,1.294012750900524e-35,6.94932023708209e-05,1.7093046475879335e-20,1.3083667489499916e-13,2.6615372400594753e-34,6.94932023708209e-05,5.5008125028774895e-06,3.775618264464735e-17,3.0096607523816515e-09,3.1946321122434014e-58,5.038489812639903e-10,6.801485751477411e-07,6.94932023708209e-05,4.626020842755023e-13,2.786608979360364e-05,1.8966388356621904e-09,6.971563342050628e-31,1.7392396672496985e-15,6.400019116118901e-13,1.3170990702355053e-06,2.786608979360364e-05,6.94932023708209e-05,2.1638547076529128e-14,1.1021449395631812e-07,1.9739377774633e-07,2.6386405414299963e-06,6.94932023708209e-05,2.152387604247492e-08,5.038489812639903e-10,6.94932023708209e-05,2.6386405414299963e-06,6.281058617663321e-08,2.9959110770478707e-15,2.6386405414299963e-06,2.4433553041279446e-13,1.3170990702355053e-06,9.136533590899437e-15,2.786608979360364e-05,4.626020842755023e-13,6.94932023708209e-05,5.038489812639903e-10,2.6386405414299963e-06,6.94932023708209e-05,6.94932023708209e-05,6.94932023708209e-05,2.786608979360364e-05,1.2025961540957542e-05,6.94932023708209e-05,6.94932023708209e-05,6.94932023708209e-05,6.94932023708209e-05,6.94932023708209e-05,2.786608979360364e-05,6.94932023708209e-05,6.94932023708209e-05,6.94932023708209e-05,6.94932023708209e-05
active pulmonary tuberculosis,1.3170990702355053e-06,1.0,1.2025961540957542e-05,1.2025961540957542e-05,4.8150787947000615e-17,1.619134162068844e-14,7.506660836488664e-19,2.2801740770414732e-15,5.5008125028774895e-06,1.2025961540957542e-05,1.0303033999665115e-35,1.2025961540957542e-05,1.1446057610289876e-20,7.096874173237591e-14,2.6615372400594753e-34,1.2025961540957542e-05,1.3170990702355053e-06,2.332218848054377e-17,1.2077020909677205e-09,3.6693924235794234e-58,2.1754400705844682e-10,1.9739377774633e-07,1.2025961540957542e-05,2.4433553041279446e-13,5.5008125028774895e-06,7.76518960385181e-10,5.356525805843644e-31,1.0183799662032566e-15,3.3560388188897665e-13,3.6171352600504054e-07,5.5008125028774895e-06,1.2025961540957542e-05,1.2147234678047282e-14,3.6461984980543327e-08,6.281058617663321e-08,6.801485751477411e-07,1.2025961540957542e-05,7.842479533335146e-09,2.1754400705844682e-10,1.2025961540957542e-05,6.801485751477411e-07,2.152387604247492e-08,1.7392396672496985e-15,6.801485751477411e-07,1.3083667489499916e-13,3.6171352600504054e-07,5.207182837606276e-15,5.5008125028774895e-06,2.4433553041279446e-13,1.2025961540957542e-05,2.1754400705844682e-10,6.801485751477411e-07,1.2025961540957542e-05,1.2025961540957542e-05,1.2025961540957542e-05,5.5008125028774895e-06,2.6386405414299963e-06,1.2025961540957542e-05,1.2025961540957542e-05,1.2025961540957542e-05,1.2025961540957542e-05,1.2025961540957542e-05,5.5008125028774895e-06,1.2025961540957542e-05,1.2025961540957542e-05,1.2025961540957542e-05,1.2025961540957542e-05
acute myocardial infarction,6.94932023708209e-05,1.2025961540957542e-05,1.0,0.0023453810997101283,1.6644874552932505e-16,7.096874173237591e-14,2.284837560480822e-18,9.136533590899437e-15,0.000601426243196155,0.0023453810997101283,1.8235908283285834e-35,0.0023453810997101283,3.140369508320686e-20,3.3560388188897665e-13,3.801676778382862e-34,0.0023453810997101283,6.94932023708209e-05,7.86886098543761e-17,1.2901501677298075e-08,4.518273435764709e-58,1.8966388356621904e-09,5.5008125028774895e-06,0.0023453810997101283,1.2391812922092631e-12,0.000601426243196155,7.842479533335146e-09,1.0370977555641462e-30,3.945169735852266e-15,1.7347499608152327e-12,1.2025961540957542e-05,0.000601426243196155,0.0023453810997101283,5.250839330426753e-14,6.801485751477411e-07,1.3170990702355053e-06,2.786608979360364e-05,0.0023453810997101283,1.1021449395631812e-07,1.8966388356621904e-09,0.0023453810997101283,2.786608979360364e-05,3.6171352600504054e-07,6.889153551936661e-15,2.786608979360364e-05,6.400019116118901e-13,1.2025961540957542e-05,2.1638547076529128e-14,0.000601426243196155,1.2391812922092631e-12,0.0023453810997101283,1.8966388356621904e-09,2.786608979360364e-05,0.0023453810997101283,0.0023453810997101283,0.0023453810997101283,0.000601426243196155,0.0001909502159740683,0.0023453810997101283,0.0023453810997101283,0.0023453810997101283,0.0023453810997101283,0.0023453810997101283,0.000601426243196155,0.0023453810997101283,0.0023453810997101283,0.0023453810997101283,1.0
alzheimer's disease,6.94932023708209e-05,1.2025961540957542e-05,0.0023453810997101283,1.0,1.6644874552932505e-16,1.3083667489499916e-13,2.284837560480822e-18,9.136533590899437e-15,0.01381847372085891,0.0023453810997101283,1.8235908283285834e-35,0.0023453810997101283,4.7325395007045564e-20,3.3560388188897665e-13,3.801676778382862e-34,0.0023453810997101283,6.94932023708209e-05,1.2944459855408013e-16,1.2901501677298075e-08,4.518273435764709e-58,4.8293051757518665e-09,5.5008125028774895e-06,0.0023453810997101283,1.2391812922092631e-12,0.000601426243196155,2.152387604247492e-08,1.0370977555641462e-30,3.945169735852266e-15,1.7347499608152327e-12,1.2025961540957542e-05,0.000601426243196155,0.0023453810997101283,5.250839330426753e-14,6.801485751477411e-07,1.3170990702355053e-06,2.786608979360364e-05,1.0,3.6171352600504054e-07,1.8966388356621904e-09,0.0023453810997101283,2.786608979360364e-05,3.6171352600504054e-07,6.889153551936661e-15,2.786608979360364e-05,1.2391812922092631e-12,1.2025961540957542e-05,2.1638547076529128e-14,0.000601426243196155,1.2391812922092631e-12,0.0023453810997101283,1.8966388356621904e-09,2.786608979360364e-05,1.0,1.0,0.0023453810997101283,0.000601426243196155,0.0001909502159740683,0.0023453810997101283,0.0023453810997101283,0.0023453810997101283,0.0023453810997101283,0.0023453810997101283,0.000601426243196155,0.0023453810997101283,0.0023453810997101283,0.0023453810997101283,0.0023453810997101283
basal cell cancer,7.86886098543761e-17,4.8150787947000615e-17,1.6644874552932505e-16,1.6644874552932505e-16,1.0,9.37868820500395e-21,5.947765060231015e-24,1.1067495105406069e-21,1.2944459855408013e-16,1.6644874552932505e-16,1.064437641372535e-38,1.6644874552932505e-16,4.096024468668736e-25,1.1446057610289876e-20,2.8878783516836777e-35,1.6644874552932505e-16,7.86886098543761e-17,5.796111588768758e-23,3.597238872942029e-18,4.994113640131388e-60,1.4585443405278043e-18,3.775618264464735e-17,1.6644874552932505e-16,2.5617174771589084e-20,1.2944459855408013e-16,2.8650714151831006e-18,2.6615372400594753e-34,1.9635400795511843e-21,3.140369508320686e-20,4.8150787947000615e-17,1.2944459855408013e-16,1.6644874552932505e-16,5.185782691799986e-21,1.837133398730967e-17,2.332218848054377e-17,6.150448523078066e-17,1.6644874552932505e-16,9.058057844426488e-18,1.4585443405278043e-18,1.6644874552932505e-16,1.0083997630368724e-16,1.4492717177602276e-17,4.7325395007045564e-20,6.150448523078066e-17,1.7093046475879335e-20,7.86886098543761e-17,4.263445849977267e-21,1.2944459855408013e-16,2.5617174771589084e-20,1.6644874552932505e-16,1.4585443405278043e-18,6.150448523078066e-17,1.6644874552932505e-16,1.6644874552932505e-16,1.6644874552932505e-16,1.2944459855408013e-16,1.0083997630368724e-16,2.7667682702385176e-16,1.6644874552932505e-16,1.6644874552932505e-16,1.6644874552932505e-16,1.6644874552932505e-16,1.2944459855408013e-16,1.6644874552932505e-16,1.6644874552932505e-16,1.6644874552932505e-16,1.6644874552932505e-16
bladder cancer,2.899646240176118e-14,1.619134162068844e-14,7.096874173237591e-14,1.3083667489499916e-13,9.37868820500395e-21,1.0,1.4300527221170087e-22,8.818322167928195e-20,9.621007179067324e-14,7.096874173237591e-14,8.890568172258581e-38,7.096874173237591e-14,9.945506621271371e-23,1.1674718187705534e-18,2.378700992333566e-36,7.096874173237591e-14,5.250839330426753e-14,1.1446057610289876e-20,7.816750503050108e-16,3.798915243696719e-59,4.632772398918257e-16,2.1638547076529128e-14,7.096874173237591e-14,2.8650714151831006e-18,5.250839330426753e-14,1.7392396672496985e-15,6.191897320814215e-33,7.159203707348732e-20,5.692934362423354e-18,1.619134162068844e-14,5.250839330426753e-14,7.096874173237591e-14,3.14638148480357e-19,9.136533590899437e-15,1.2147234678047282e-14,2.1638547076529128e-14,1.3083667489499916e-13,6.889153551936661e-15,2.7667682702385176e-16,7.096874173237591e-14,2.1638547076529128e-14,1.2147234678047282e-14,1.0872747244069725e-19,2.1638547076529128e-14,1.1449461033059439e-17,1.619134162068844e-14,3.903857418349369e-19,5.250839330426753e-14,2.8650714151831006e-18,7.096874173237591e-14,2.7667682702385176e-16,2.1638547076529128e-14,1.3083667489499916e-13,1.3083667489499916e-13,1.3083667489499916e-13,5.250839330426753e-14,3.896430349296753e-14,7.096874173237591e-14,7.096874173237591e-14,7.096874173237591e-14,7.096874173237591e-14,7.096874173237591e-14,5.250839330426753e-14,7.096874173237591e-14,7.096874173237591e-14,7.096874173237591e-14,7.096874173237591e-14
breast cancer,1.1674718187705534e-18,7.506660836488664e-19,2.284837560480822e-18,2.284837560480822e-18,5.947765060231015e-24,1.4300527221170087e-22,1.0,4.0567116910823036e-23,1.8243985067901446e-18,2.284837560480822e-18,1.6452047040213302e-39,2.284837560480822e-18,1.71182354975797e-26,3.5870666006017473e-22,8.890568172258581e-38,2.284837560480822e-18,1.1674718187705534e-18,3.565280909200029e-24,7.159203707348732e-20,1.7131552832135864e-60,4.7325395007045564e-20,6.029816958376824e-19,2.284837560480822e-18,1.1067495105406069e-21,1.8243985067901446e-18,5.817943081099343e-20,5.149653627754836e-35,6.934647888554559e-23,9.156033404959784e-22,7.506660836488664e-19,1.8243985067901446e-18,2.284837560480822e-18,1.7164977117298256e-22,3.14638148480357e-19,3.903857418349369e-19,9.356028628262142e-19,2.284837560480822e-18,1.6579344819815644e-19,4.7325395007045564e-20,2.284837560480822e-18,9.356028628262142e-19,6.029816958376824e-19,4.8475346659066085e-23,9.356028628262142e-19,7.580300517683966e-22,7.506660836488664e-19,2.0616945572050709e-22,1.8243985067901446e-18,7.580300517683966e-22,2.284837560480822e-18,2.538637959207608e-19,9.356028628262142e-19,2.284837560480822e-18,2.284837560480822e-18,2.284837560480822e-18,1.8243985067901446e-18,1.4585443405278043e-18,2.284837560480822e-18,2.284837560480822e-18,2.284837560480822e-18,2.284837560480822e-18,2.284837560480822e-18,2.8650714151831006e-18,2.284837560480822e-18,2.284837560480822e-18,2.284837560480822e-18,2.284837560480822e-18
cervical cancer,3.945169735852266e-15,2.2801740770414732e-15,9.136533590899437e-15,9.136533590899437e-15,1.1067495105406069e-21,8.818322167928195e-20,4.0567116910823036e-23,1.0,6.889153551936661e-15,9.136533590899437e-15,5.204038185681981e-38,9.136533590899437e-15,1.2995027390360843e-24,2.538637959207608e-19,1.0919667089259439e-36,9.136533590899437e-15,3.945169735852266e-15,6.2803345296853105e-22,1.2944459855408013e-16,1.5710298316556913e-59,4.8150787947000615e-17,1.7392396672496985e-15,9.136533590899437e-15,6.029816958376824e-19,6.889153551936661e-15,1.0083997630368724e-16,1.609371331805881e-33,1.1446057610289876e-20,7.506660836488664e-19,2.2801740770414732e-15,6.889153551936661e-15,9.136533590899437e-15,7.159203707348732e-20,7.816750503050108e-16,1.0183799662032566e-15,2.9959110770478707e-15,9.136533590899437e-15,3.576854722602505e-16,4.8150787947000615e-17,9.136533590899437e-15,2.9959110770478707e-15,6.011872154603026e-16,1.7093046475879335e-20,2.9959110770478707e-15,6.029816958376824e-19,2.2801740770414732e-15,3.8533036858376e-20,6.889153551936661e-15,6.029816958376824e-19,9.136533590899437e-15,4.8150787947000615e-17,2.9959110770478707e-15,9.136533590899437e-15,9.136533590899437e-15,9.136533590899437e-15,6.889153551936661e-15,5.207182837606276e-15,9.136533590899437e-15,9.136533590899437e-15,9.136533590899437e-15,9.136533590899437e-15,9.136533590899437e-15,6.889153551936661e-15,9.136533590899437e-15,9.136533590899437e-15,9.136533590899437e-15,9.136533590899437e-15
cholangiocancer,2.786608979360364e-05,5.5008125028774895e-06,0.000601426243196155,0.01381847372085891,1.2944459855408013e-16,9.621007179067324e-14,1.8243985067901446e-18,6.889153551936661e-15,1.0,0.000601426243196155,1.6262733857877806e-35,0.000601426243196155,5.817943081099343e-20,2.4433553041279446e-13,3.375059124732795e-34,0.000601426243196155,2.786608979360364e-05,1.0083997630368724e-16,7.842479533335146e-09,4.843176503251223e-58,7.842479533335146e-09,1.2025961540957542e-05,0.000601426243196155,8.887997840926365e-13,0.0001909502159740683,3.6461984980543327e-08,9.082661878184586e-31,2.9959110770478707e-15,1.2391812922092631e-12,5.5008125028774895e-06,0.0001909502159740683,0.000601426243196155,3.896430349296753e-14,3.6171352600504054e-07,6.801485751477411e-07,1.2025961540957542e-05,0.01381847372085891,6.801485751477411e-07,1.2077020909677205e-09,0.000601426243196155,1.2025961540957542e-05,1.9739377774633e-07,5.207182837606276e-15,1.2025961540957542e-05,1.7347499608152327e-12,5.5008125028774895e-06,1.619134162068844e-14,0.0001909502159740683,8.887997840926365e-13,0.01381847372085891,1.2077020909677205e-09,1.2025961540957542e-05,0.01381847372085891,0.01381847372085891,0.000601426243196155,0.0001909502159740683,6.94932023708209e-05,0.000601426243196155,0.000601426243196155,0.000601426243196155,0.000601426243196155,0.000601426243196155,0.0001909502159740683,0.000601426243196155,0.000601426243196155,0.000601426243196155,0.000601426243196155
chronic lymphocytic leukemia,6.94932023708209e-05,1.2025961540957542e-05,0.0023453810997101283,0.0023453810997101283,1.6644874552932505e-16,7.096874173237591e-14,2.284837560480822e-18,9.136533590899437e-15,0.000601426243196155,1.0,1.8235908283285834e-35,0.0023453810997101283,3.140369508320686e-20,3.3560388188897665e-13,3.801676778382862e-34,0.0023453810997101283,6.94932023708209e-05,7.86886098543761e-17,1.2901501677298075e-08,3.932823592439431e-58,1.8966388356621904e-09,5.5008125028774895e-06,0.0023453810997101283,1.2391812922092631e-12,0.000601426243196155,7.842479533335146e-09,1.0370977555641462e-30,3.945169735852266e-15,1.7347499608152327e-12,1.2025961540957542e-05,0.000601426243196155,0.0023453810997101283,5.250839330426753e-14,6.801485751477411e-07,1.3170990702355053e-06,2.786608979360364e-05,0.0023453810997101283,1.1021449395631812e-07,1.8966388356621904e-09,0.0023453810997101283,2.786608979360364e-05,3.6171352600504054e-07,6.889153551936661e-15,2.786608979360364e-05,6.400019116118901e-13,1.2025961540957542e-05,2.1638547076529128e-14,0.000601426243196155,1.2391812922092631e-12,0.0023453810997101283,1.8966388356621904e-09,2.786608979360364e-05,0.0023453810997101283,0.0023453810997101283,0.0023453810997101283,0.000601426243196155,0.0001909502159740683,0.0023453810997101283,0.0023453810997101283,0.0023453810997101283,0.0023453810997101283,0.0023453810997101283,0.000601426243196155,0.0023453810997101283,0.0023453810997101283,0.0023453810997101283,0.0023453810997101283
